personnel_id,rank,abbreviation,service,date
03-9888734,Wing Commander,WGCDR,RAAF,05/07/2012
65-1356453,Group Captain,GPCAPT,RAAF,25/09/2019
11-6968801,Air Commodore,AIRCDRE,RAAF,07/10/2003
41-7348076,Air Vice-Marshal,AVM,RAAF,27/06/2003
68-9003076,Air Marshal,AIRMSHL,RAAF,05/12/2016
87-3405924,Air Chief Marshal,ACM,RAAF,02/09/2021
51-0145259,Seaman,SMN,RAN,22/12/2005
37-8206426,Able Seaman,AB,RAN,16/01/2003
21-1961249,Leading Seaman,LS,RAN,01/03/2016
33-9872743,Petty Officer,PO,RAN,22/08/2005
77-6269310,Chief Petty Officer,CPO,RAN,19/04/2023
07-6056482,Warrant Officer,WO,RAN,05/03/2014
33-2199050,Warrant Officer of the Navy,WO-N,RAN,30/05/2013
08-2616725,Midshipman,MIDN,RAN,18/03/2018
63-8993210,Acting Sub Lieutenant,SBLT,RAN,11/03/2008
56-6147620,Sub Lieutenant,SBLT,RAN,29/07/2003
04-2999152,Lieutenant,LEUT,RAN,03/12/2023
11-3825027,Lieutenant Commander,LCDR,RAN,03/08/2011
31-4002719,Chaplain,CHAP,RAN,15/01/2009
81-9552117,Commander,CMDR,RAN,01/04/2012
43-3930318,Captain,CAPT,RAN,03/07/2008
38-1170334,Commodore,CDRE,RAN,05/10/2021
89-2343060,Rear Admiral,RADM,RAN,24/05/2010
59-1747015,Vice Admiral,VADM,RAN,03/01/2021
61-5460447,Admiral,ADML,RAN,24/05/2017
01-9382309,Private,PTE,Army,01/02/2006
74-3842266,Lance Corporal,LCPL,Army,27/11/2005
42-6700628,Corporal,CPL,Army,07/10/2017
76-4973958,Sergeant,SGT,Army,12/07/2009
66-0800417,Staff Sergeant,SSGT ,Army,04/01/2001
34-2141144,Warrant Officer Class Two,WO2,Army,25/11/2002
38-2311027,Warrant Officer Class One,WO1,Army,30/12/2016
50-0882549,Regimental Sergeant Major of the Army,RSM-A,Army,23/05/2010
58-1194771,Officer Cadet,OCDT,Army,21/02/2013
68-4144096,2nd Lieutenant,2LT,Army,27/09/2008
17-4016718,Lieutenant,LT,Army,15/12/2002
59-9610865,Captain,CAPT,Army,05/06/2003
50-3715653,Major,MAJ,Army,21/03/2007
76-1462262,Lieutenant Colonel,LTCOL,Army,16/01/2021
18-6984842,Colonel,COL,Army,28/10/2005
58-4643494,Brigadier,BRIG,Army,09/03/2003
13-4471419,Major General,MAJGEN,Army,21/03/2023
95-1727415,Lieutenant General,LTGEN,Army,31/03/2005
42-0852987,General,GEN,Army,25/02/2003
51-8125935,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,27/07/2016
93-6344337,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,27/10/2017
35-7565504,Corporal,CPL,RAAF,30/10/2012
96-0580288,Sergeant,SGT,RAAF,28/04/2012
89-2360262,Flight Sergeant,FSGT,RAAF,17/10/2018
70-6509416,Warrant Officer,WOFF,RAAF,27/04/2020
61-9831853,Warrant Officer of the Air Force,WOFF-AF ,RAAF,05/09/2004
63-1651056,Officer Cadet,OFFCDT ,RAAF,06/02/2004
34-9762290,Pilot Officer,PLTOFF,RAAF,05/08/2010
91-1309160,Flying Officer,FLGOFF,RAAF,22/08/2007
49-6653536,Flight Lieutenant,FLTLT,RAAF,11/04/2002
57-0946395,Squadron Leader,SQNLDR,RAAF,10/02/2015
78-0826346,Wing Commander,WGCDR,RAAF,13/10/2007
99-7129768,Group Captain,GPCAPT,RAAF,30/10/2018
15-3082340,Air Commodore,AIRCDRE,RAAF,04/07/2008
79-4370801,Air Vice-Marshal,AVM,RAAF,26/12/2008
21-1937515,Air Marshal,AIRMSHL,RAAF,03/10/2010
68-6891894,Air Chief Marshal,ACM,RAAF,08/05/2010
96-1993164,Seaman,SMN,RAN,08/09/2014
86-1368126,Able Seaman,AB,RAN,10/08/2024
41-1458749,Leading Seaman,LS,RAN,08/09/2002
02-7112823,Petty Officer,PO,RAN,25/03/2003
14-1611988,Chief Petty Officer,CPO,RAN,09/09/2020
14-9301663,Warrant Officer,WO,RAN,10/03/2020
59-7035894,Warrant Officer of the Navy,WO-N,RAN,23/04/2005
48-1344344,Midshipman,MIDN,RAN,31/05/2006
92-7328382,Acting Sub Lieutenant,SBLT,RAN,11/04/2012
52-6654463,Sub Lieutenant,SBLT,RAN,14/05/2008
23-0782844,Lieutenant,LEUT,RAN,06/05/2004
